2791	3361	3581	155	1540	138	934	4945	5482	2822	1880	6350	4509	2550	501	6187	5032	3063	2731	981	1016	1961	5181	859	5332	2711	2759	5981	2192	2718	915	3887	3965	6373	5133	2170	7116	5519	790	2681	112	5781	5766	1610	2625	6418	1576	1696	6520	6934	3720	651	4394	6420	4195	4486	1665	2674	5767	6756	738	2927	5059	1278	6097	7080	1231	5235	5200	765	3191	1601	2236	3439	3537	653	104	5867	245	6808	898	4429	5976	4852	3723	3165	5013	1446	1911	1804	2290	1840	1495	2672	2378	6468	950	2272	5771	6688	3829	6424	1987	4901	1711	5626	103	6928	3736	6016	5111	4363	909	3778	3730	2563	1617	2295	6727	1681	6362	6334	4303	1922	4400	5499	1644	1059	2654	4153	4807	3727	6863	1239	1179	4268	1788	5233	1093	6115	4227	5360	1047	2316
5011	4298	3824	622	6243	752	5391	319	1851	6782	3410	5313	2280	4068	1101	4696	3706	3648	1792	4608	2951	3445	5903	1689	4182	7016	5787	1713	3669	1942	6143	151	7142	6813	1600	692	1508	235	1855	2164	4957	2362	274	4196	3300	1487	1125	5820	159	1602	6881	360	5252	4273	7045	5612	997	855	7075	4979	785	2337	4101	4987	1732	519	4292	6597	4264	6567	6889	3992	5382	2532	4038	3273	5469	4415	1897	6173	3366	2181	845	97	1293	4274	1469	1407	3161	5900	101	2208	4841	2636	3976	4591	2940	5927	6456	365	2985	4882	4596	6387	7109	3053	6165	5865	1216	3981	5676	6740	557	5075	6573	2233	294	664	4670	3944	4112	1391	5715	4229	3332	5892	1970	6549	893	2250	1790	5593	6480	5113	6001	1903	4788	3249	4456	2939	4793	3166	1884	4512
3148	4668	6540	4513	489	5475	349	7034	2448	96	1126	5521	3598	1570	6985	4474	83	516	190	5496	1604	6864	5598	1722	1065	6625	7118	1282	6338	6224	4944	6028	1061	3510	4568	4184	4459	7147	5447	4547	5151	2489	5828	2549	5440	7112	4956	5085	1308	2214	1913	5831	2398	147	2504	2645	4158	6804	2349	35	5388	2679	6834	1180	2211	3528	4439	5485	3493	869	1025	2883	1759	4071	1679	2033	2392	512	900	1289	207	4322	3777	6552	1854	2127	3956	1515	1120	4008	6169	1044	4056	6392	4720	1380	3775	3432	2052	4992	5383	2766	4087	3659	999	5461	6277	4791	6747	5071	724	7050	5166	7198	1686	1822	4232	3045	6621	4546	2661	3103	1522	437	4777	482	4481	4558	1800	2620	2547	5248	740	3977	3783	2795	4462	3413	851	3467	3294	666	5428	5550
1997	1989	2205	5793	4269	2742	6255	4536	3037	5650	3813	1924	6036	6070	3785	4886	1802	5916	2789	1842	5129	1585	3681	3826	619	4335	2300	4277	2602	3395	3461	315	1590	1083	6488	201	2770	2036	4523	5363	3792	4569	1409	5159	1178	3072	3304	6447	4633	3258	7079	1505	2867	1946	311	5562	20	5010	5505	6405	523	1964	5991	6532	5709	5872	89	604	2446	3868	1283	3839	6601	493	3725	4896	6228	2536	1353	5875	1993	6587	3232	3389	3481	2909	5541	5749	1730	5175	784	2691	4373	6240	7003	2186	3540	6535	4497	2470	1919	558	4213	6225	5804	1747	4545	2223	2471	6148	3092	5231	5951	2079	248	786	1026	246	5677	5334	6745	5581	5818	1264	4380	2041	2658	3367	7106	603	4564	919	400	6232	2776	3159	846	2904	2712	6207	5795	941	6945	3101
4391	6865	2055	3916	6637	935	5753	2124	727	3003	2968	5234	4935	1664	3866	1693	2182	2051	6872	384	1470	2638	45	4534	6924	3137	2888	4717	3955	3301	5141	880	6685	5223	3607	1999	5274	2150	2863	4365	6886	5972	2203	4121	1956	6988	2034	6678	3352	3356	6626	5245	6720	3638	2313	5262	5817	6052	3106	6853	1991	4676	3724	779	6453	1081	5726	533	4080	1352	3532	5232	6322	2869	6672	5054	3214	3475	5554	4997	421	4872	2740	802	1437	6671	3499	3689	2413	588	5392	2967	1303	5015	1973	6307	3690	3557	6712	4847	342	140	1184	6542	3224	4735	341	5304	1669	2153	3485	1830	6649	6530	3373	1914	580	75	906	5014	6923	5688	2252	5958	6809	6178	1350	2891	3869	2179	4025	2357	4332	334	1357	2371	456	259	4631	5503	3709	5957	4083	1103
2609	5435	5236	2649	1247	3711	6047	7120	1324	4824	858	1883	2760	5854	373	3759	2499	1035	2472	6474	1046	6121	3871	6708	3379	2372	3908	300	6790	2276	1504	4295	5973	7052	6413	5460	4262	2424	7041	6358	6608	3268	4132	5299	3370	4343	5078	1476	2485	2895	5209	2080	3226	183	2157	3480	3365	5117	1714	3820	3685	4379	1655	6141	4505	1329	5260	25	448	5904	6867	99	4306	399	570	4498	4163	415	6697	749	1313	5827	2271	3437	2859	4827	2774	1230	2972	2321	860	1112	1119	1611	5893	3458	3449	1263	6035	1527	4140	1265	4959	4212	186	5	2531	2668	1164	3060	4797	5395	1751	1405	4409	5796	3400	6574	2464	645	966	739	7111	6730	6009	6463	2724	1954	5344	6940	1965	3755	7143	887	2404	6825	1935	1723	1578	6932	95	5193	4435	4736
3926	4504	1447	5633	1312	483	4156	4692	4179	1941	4838	3436	6183	4284	2853	3875	3374	2350	5279	1090	4095	4527	4510	3970	2540	2139	4154	2628	4370	345	6503	5982	4723	4437	3340	4296	503	1417	6556	363	6999	5609	6010	2773	3010	5465	6739	4345	5220	3121	4294	4652	4053	1132	3364	1598	5685	6569	4408	6914	7174	4131	1453	6854	5417	4157	1721	993	5898	2918	7056	6271	6111	7061	6203	4557	6779	3891	6102	6970	6401	2655	977	361	4299	3065	4178	685	5256	3236	449	5926	3394	643	1224	4426	3954	5116	1088	2245	816	5491	2800	5686	1143	4261	682	4888	2912	2802	2913	2821	4775	3440	2275	3800	413	7033	4260	6960	4885	6689	6629	1171	7097	1003	4740	3466	1471	3491	288	1496	4737	2317	3502	320	5870	3042	5474	5069	5845	6691	3456	2486
1697	5026	214	978	3349	2882	5888	1252	388	3116	1518	4681	4441	2666	605	5800	5963	2761	5556	6933	3746	827	5472	2031	6355	273	105	3055	1348	4221	208	4215	2881	1996	5198	439	53	5076	6759	7105	6	7162	6784	613	4282	1871	7104	1210	3431	4192	4062	7047	5628	5090	5331	1428	3732	1387	4984	1781	5637	1036	1888	2754	7117	6273	3324	4482	2274	164	949	6887	3292	2014	3212	2173	1582	4529	7022	2689	232	1106	5281	5302	5403	2671	1480	2019	6920	2171	4855	1511	6642	2482	1566	7168	4982	2001	339	6630	4713	54	6850	6815	6037	6196	2152	5371	2591	1557	5269	2220	6801	5241	404	4067	741	5266	1534	5177	5259	293	3220	6157	1220	2987	5592	6840	5799	526	5579	3472	2832	4844	2950	3596	2966	220	385	4410	3044	560	5561	4683
2981	1568	2569	1130	6725	799	4470	5774	5379	3704	6777	336	4278	5195	4241	5207	4649	6451	5816	6699	4386	6917	3139	379	6634	1068	5152	1879	2075	2613	239	2994	3830	5666	4200	7	156	6848	5645	3897	4667	2273	3739	917	6918	564	2797	3562	1454	4475	5993	6638	1161	2702	3583	1041	6912	2045	330	3321	6486	3535	2803	3999	4031	1615	1896	1316	1372	3080	3770	3430	5679	1845	2814	2543	2301	6903	3047	2605	3504	6684	4708	152	6764	1705	6414	4665	4728	3852	3526	3567	4951	5172	2722	5173	1325	4543	6241	5759	2600	1876	4376	3789	1209	1575	1262	4953	2196	5712	1784	6875	4198	2445	5089	3316	1931	1298	1124	4188	849	3620	5646	5050	1643	2320	4703	5343	5560	188	5280	7166	6007	1865	4748	5699	3791	722	5884	6442	6156	6803	1661	7014
5412	2427	2	2112	73	3098	2949	3928	4671	3788	4107	4548	1858	2440	6761	6272	686	726	5019	2110	4216	2787	4372	7002	6022	2035	3113	7159	1848	4514	659	4948	6455	5516	841	7025	3419	1981	6098	3726	4798	1519	6586	6826	2146	6971	586	286	4466	781	5623	1033	4853	5710	2361	6528	4058	1267	3764	830	2099	106	5728	2143	946	4714	6537	5439	2632	6660	428	1444	5065	4794	3088	2996	2166	2819	3639	1185	4353	5563	4073	4756	2682	1957	1111	1706	5886	3442	927	1462	4473	4076	4659	6211	4035	2690	3261	508	3187	4554	1878	2148	1860	6345	1976	744	5907	80	4461	602	5040	2484	4219	5568	5213	2644	687	6619	6770	5318	871	5459	4893	3406	3963	3235	4561	1057	632	4776	5183	2165	3658	6502	4922	6686	2405	6516	2391	3907	6754	5988
