1114	1034	1312	591	765	65	1277	191	1591	1637	1498	1352	864	1415	122	646	1393	813	1494	348	140	904	353	642	343	1069	1288	1721	9	243	11	770	1075	772	1278	254
588	962	1791	958	1305	810	222	1384	512	1401	161	759	115	1514	195	903	64	317	1322	470	1667	241	85	97	114	234	1788	634	1105	1391	1187	724	196	1780	586	1192
966	1606	802	931	1673	837	911	940	1724	654	1573	1505	623	1579	879	322	1137	57	817	1694	1714	1067	1621	735	1206	891	1419	1104	1215	1544	618	920	442	179	194	1005
69	1073	1563	781	1287	1199	461	1696	884	967	892	1117	1093	410	314	1088	1639	848	1537	826	1605	150	1363	976	1741	1635	1304	877	873	1056	1439	342	970	1298	945	1751
1048	853	557	1013	1120	942	1394	1351	59	23	467	609	1038	1386	471	1044	1365	1542	32	1566	1413	965	936	192	45	989	1681	107	1284	957	1226	1612	851	1428	1416	621
1189	1654	1375	1355	1730	1162	824	1318	453	887	1732	804	401	812	1798	44	516	1693	682	620	435	547	1541	1584	1379	433	1500	1436	1600	1729	897	647	1716	561	1799	1344
1276	1402	946	420	1111	460	651	1628	954	1598	628	394	1604	384	1285	1425	345	1377	232	1429	287	1470	1431	513	960	1161	108	1230	850	1661	458	1014	406	1737	1723	1331
1634	375	332	1070	733	1568	54	494	209	795	1546	1244	1497	767	506	834	725	339	943	223	230	1314	1308	318	833	1699	405	1286	1540	1320	126	521	46	1211	836	1575
1328	615	1447	286	493	188	17	708	412	1784	41	505	486	1345	1434	1357	1502	1031	61	846	599	1134	819	1796	558	184	1225	1795	1760	604	1469	1783	1139	1671	1396	185
1726	502	858	542	1195	1254	985	147	1310	980	1689	1581	173	915	1008	648	863	1624	1467	662	18	198	366	1438	1725	8	76	346	421	359	602	276	1099	68	1335	389
89	1175	935	854	912	748	1740	722	164	1519	298	667	597	1158	363	250	438	190	1026	1779	955	1643	643	268	279	78	797	1183	180	316	480	1710	731	1515	393	440
764	1531	1619	528	1043	1623	385	559	1797	1325	784	1666	1201	874	1570	1520	1697	758	998	272	1130	1489	1722	128	760	1236	1449	825	255	159	991	1631	1684	1353	791	752
434	67	207	1597	1717	1437	1342	1665	1239	50	1315	229	4	1765	612	501	952	1465	849	595	1524	1191	761	245	666	831	350	523	1692	1178	304	899	1212	404	1508	1102
1506	1366	1222	1529	82	774	689	1121	503	357	1094	907	372	1678	327	1133	110	720	205	890	1080	1383	320	1448	1186	123	734	1459	103	62	1479	983	1772	1720	1323	650
979	202	1004	984	1617	1062	262	387	1450	1046	193	1006	961	1454	993	75	478	447	775	1646	419	308	1262	446	1316	153	463	379	1691	1202	94	1250	178	656	448	133
631	1129	1731	741	987	403	423	1444	822	464	81	281	1565	563	1221	197	607	1578	1658	711	1399	1747	201	378	1091	1554	1528	658	148	657	659	1347	1042	217	121	1119
485	466	1433	141	457	1484	1169	1549	1513	474	1279	951	1644	1247	806	1204	1743	1330	1755	377	189	842	1257	820	1443	622	49	1200	616	444	187	1321	865	307	881	1609
1152	699	278	668	1557	392	95	1019	766	1461	552	1404	1418	1750	1329	340	1417	1131	253	1256	1261	142	1555	938	1362	1024	1115	319	744	1421	1675	397	534	959	1116	715
1403	1713	1232	439	630	1000	1142	1507	859	1752	701	844	917	275	42	1372	294	1219	152	921	1203	796	1687	1491	226	680	168	426	1123	862	840	1690	704	1599	77	0
550	598	390	1132	1059	1535	754	882	1647	396	918	1167	811	843	937	571	694	504	347	288	869	1552	407	582	809	524	1136	136	1179	1446	801	1223	1602	1020	160	610
1572	1405	144	1410	1545	30	1303	270	1148	562	1781	428	1350	183	1343	1744	1009	988	573	1495	861	898	1589	669	1645	964	786	231	361	134	1196	58	10	1641	709	1047
653	1778	705	1156	125	1390	329	841	1749	1282	1012	541	96	451	90	814	1313	88	452	574	742	489	1159	60	1045	1680	1051	789	1017	374	1582	237	995	325	683	1409
1147	1281	762	717	579	1011	1706	414	1672	614	514	176	454	578	1135	1294	1084	580	1408	415	996	408	1742	893	210	1374	1733	1348	688	1237	787	1411	910	102	47	1016
186	569	430	1474	395	1685	1607	756	130	916	280	1264	1530	1018	455	1170	624	553	515	1022	934	1174	990	349	1290	53	638	432	1296	1356	1518	1763	577	633	1035	1253
1423	33	649	1719	1427	117	1081	1523	1210	181	953	93	1149	613	832	429	1228	1339	1141	1209	479	1588	282	1553	99	283	1218	1625	1378	779	40	1180	635	739	34	497
1670	768	20	1650	1769	676	1205	914	1556	1143	15	331	1381	135	1251	1227	1615	1496	1271	1759	1492	773	721	1652	1249	1517	878	829	777	974	236	25	1266	7	1577	163
800	1220	56	1482	1371	1275	605	456	1154	177	1596	1590	213	66	221	977	233	496	490	1594	655	37	670	1076	619	544	261	27	927	1504	425	1061	566	1089	1193	1703
855	751	1163	472	1642	1695	788	83	672	365	1453	1071	315	1002	729	1679	868	244	1197	1082	1173	1534	31	1151	1777	794	360	260	1246	870	1274	968	816	1267	1761	1481
239	257	737	35	538	1087	1538	519	251	1198	1127	5	572	1636	1065	1510	933	1683	116	154	1574	100	487	845	1558	369	928	1613	522	1033	1036	1369	1238	1562	1593	1295
1245	138	1662	39	821	685	645	112	19	684	1640	1213	1289	157	555	601	545	265	876	1300	1052	376	1150	1039	1616	1337	1629	1660	1790	698	556	1490	1160	475	986	533
902	886	530	1734	1468	1309	511	1592	1424	1576	1715	484	51	1727	1400	162	1775	24	905	12	637	639	1458	1736	370	1451	300	932	941	736	1085	167	674	1072	510	894
334	982	875	1301	1235	302	293	326	1030	225	972	1709	248	539	1748	1627	400	889	746	1063	525	1435	567	29	872	500	1698	1539	596	1718	753	72	1414	1229	488	835
871	1676	242	235	681	1611	1677	823	295	269	249	321	747	738	1711	749	274	124	1398	441	785	1	1029	498	462	778	495	468	818	1268	1758	675	1580	608	246	101
536	1501	436	1234	158	1764	1027	16	356	1010	1258	445	1704	1064	1181	896	206	1768	1603	1387	1785	1789	888	1527	1422	723	564	48	337	87	371	551	790	885	1060	303
1614	422	492	1583	1361	565	499	43	367	1360	381	1023	847	1216	1511	1551	1260	149	644	212	358	673	172	1702	1125	1283	6	1327	1406	1633	509	182	336	200	324	341
1040	1311	1292	798	36	867	111	1078	271	74	857	70	1663	703	769	783	776	1090	611	535	1349	465	1397	763	593	1585	973	1746	118	1560	264	583	1756	718	252	71
382	247	1028	312	216	603	554	617	629	856	807	1097	256	477	21	267	661	1426	1564	129	290	1110	1103	1243	529	1407	1561	587	1354	632	156	373	105	994	1532	431
1334	929	127	1188	266	1118	1653	1265	1499	600	137	1373	1171	1608	273	1326	1569	963	1057	1001	706	355	238	1208	730	1083	585	696	297	13	1648	1126	113	1140	1248	1547
1787	1107	98	1792	692	330	1462	1185	1392	120	677	866	1457	1486	174	1587	1003	424	296	750	165	981	1050	427	3	1214	218	1079	1571	211	1122	443	263	119	1442	1657
1525	678	584	214	939	476	1548	219	581	306	755	1771	338	1317	1601	971	1452	1259	1786	1293	1224	728	1487	1668	1032	1753	671	1567	63	258	1385	1550	383	908	1656	1389
399	1559	323	104	215	285	1793	1101	992	782	1388	131	1054	1095	402	1707	1688	1762	1358	1512	38	1242	697	690	416	1299	1359	1041	652	540	1297	827	469	277	1108	1767
1745	1233	1622	880	418	1757	1477	313	1346	1157	1341	1516	1774	91	679	526	169	1182	1166	1664	80	686	1776	1306	1533	1476	1015	948	570	481	1367	838	1302	1165	1176	805
727	1754	1074	640	1483	106	1240	975	702	1480	1432	691	660	22	1686	450	815	391	398	1441	575	1708	589	919	978	590	204	1376	1068	1113	1586	1272	1368	1456	625	549
109	309	641	380	1153	155	1420	1412	546	537	351	1630	713	1146	1655	14	1172	663	368	1164	1324	284	839	1270	310	413	1155	560	1493	1618	969	1473	1488	830	1632	228
292	803	1338	1263	568	1332	852	665	1291	1096	1190	199	1735	227	1526	1021	1049	636	1651	84	1025	508	449	543	1509	1773	520	740	491	1770	913	1086	224	437	799	924
700	92	1522	1098	354	1466	1077	1217	79	1231	594	1739	757	664	906	693	1536	1280	1100	52	388	1037	900	1333	925	719	714	999	1649	1124	1700	132	1626	792	299	950
171	1464	1701	333	828	626	947	1241	1092	1712	482	726	997	1269	606	1445	386	1595	1705	1340	1471	576	139	1184	712	1144	1370	1485	459	909	352	305	1463	1478	732	780
259	175	1503	1382	895	923	883	592	922	745	1055	627	1319	291	716	362	26	930	1255	949	1620	1273	1194	166	483	328	1610	151	1007	527	1782	473	289	364	901	1177
1455	531	1112	145	301	517	170	1766	1058	1430	411	1472	1252	956	1460	1794	1207	710	73	1145	1738	1336	507	1106	146	311	860	1128	240	808	707	1521	1543	518	417	1638
2	344	1138	1659	28	220	208	1728	743	1674	1168	1307	532	335	1109	143	86	1053	695	771	793	1669	55	1395	1682	926	944	203	1475	409	1066	687	1364	1380	548	1440
